순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
257,경기도,광주시,이스트밸리CC,경기 광주시 건업길 195-0,레저스포츠,육상레저스포츠,165567
258,경기도,파주시,타이거CC,경기 파주시 술이홀로 1803-0,레저스포츠,육상레저스포츠,164998
259,경기도,용인시 처인구,신원CC,경기 용인시 처인구 이원로 225-0,레저스포츠,육상레저스포츠,164254
260,경기도,화성시,센트럴파크,경기 화성시 동탄공원로2길 22-0,문화관광,도시공원,163902
261,경기도,가평군,리앤리CC,경기 가평군 운악청계로 702-24,레저스포츠,육상레저스포츠,161488
262,경기도,광주시,팔당물안개공원,경기 광주시 남종면 귀여리 596,문화관광,도시공원,161224
263,경기도,고양시 일산서구,그랜드백화점일산점,경기 고양시 일산서구 중앙로 1436-0,쇼핑,백화점,160612
264,경기도,안성시,골프존카운티안성W,경기 안성시 교동길 19-70,레저스포츠,육상레저스포츠,160204
265,경기도,광주시,태재고개,경기 광주시 신현동 산116-1,자연관광,자연경관(산),160128
266,경기도,수원시 팔달구,경기아트센터,경기 수원시 팔달구 효원로307번길 20-0,문화관광,공연시설,159936
267,경기도,포천시,비둘기낭폭포,경기 포천시 영북면 대회산리 415-2,자연관광,자연경관(산),159569
268,경기도,광주시,중대물빛공원,경기 광주시 중대동 91,문화관광,도시공원,159228
269,경기도,용인시 처인구,와우정사,경기 용인시 처인구 해곡로 25-15,역사관광,종교성지,159194
270,경기도,하남시,덕풍전통시장,경기 하남시 수리북로 26-0,쇼핑,시장,158945
271,경기도,파주시,서원밸리CC,경기 파주시 서원길 333-0,레저스포츠,육상레저스포츠,157770
272,경기도,과천시,관문체육공원,경기 과천시 중앙로 294-0,문화관광,도시공원,155531
273,경기도,성남시 분당구,분당중앙공원,경기 성남시 분당구 성남대로 550-0,문화관광,도시공원,154650
274,경기도,고양시 일산동구,CGV일산,경기 고양시 일산동구 정발산로 24-0,문화관광,공연시설,154345
275,경기도,여주시,블루헤런GC,경기 여주시 고달사로 67-0,레저스포츠,육상레저스포츠,153085
276,경기도,여주시,세라지오GC,경기 여주시 여양로 530-0,레저스포츠,육상레저스포츠,152631
277,경기도,광주시,중부CC,경기 광주시 경충대로 451-0,레저스포츠,육상레저스포츠,152571
278,경기도,포천시,라싸GC,경기 포천시 제비울2길 161-0,레저스포츠,육상레저스포츠,152471
279,경기도,안성시,골프존카운티안성H,경기 안성시 보삼로 302-0,레저스포츠,육상레저스포츠,152372
280,경기도,가평군,프리스틴밸리GC,경기 가평군 유명로 1243-199,레저스포츠,육상레저스포츠,151928
281,경기도,여주시,이포CC,경기 여주시 장흥로 416-0,레저스포츠,육상레저스포츠,151713
282,경기도,평택시,평택호관광단지,경기 평택시 평택호길 159-0,문화관광,복합관광시설,150609
283,경기도,안양시 만안구,안양중앙시장,경기 안양시 만안구 냉천로 196-0,쇼핑,시장,149579
284,경기도,여주시,금강CC,경기 여주시 금강그린길 84-0,레저스포츠,육상레저스포츠,149345
285,경기도,가평군,크리스탈밸리CC,경기 가평군 대보간선로 602-111,레저스포츠,육상레저스포츠,149246
286,경기도,군포시,산본전통시장,경기 군포시 산본천로183번길 6-0,쇼핑,시장,148996
287,경기도,이천시,사우스스프링스CC,경기 이천시 공원로 64-0,레저스포츠,육상레저스포츠,147609
288,경기도,안성시,마에스트로CC,경기 안성시 안성맞춤대로 2134-36,레저스포츠,육상레저스포츠,147485
289,경기도,평택시,SRT평택지제역,경기 평택시 경기대로 777-0,기타관광,교통시설,147447
290,경기도,남양주시,남양주한강공원삼패지구,경기 남양주시 고산로 254-2,문화관광,도시공원,147407
291,경기도,고양시 덕양구,서울한양CC,경기 고양시 덕양구 고양대로1643번길 164-0,레저스포츠,육상레저스포츠,147167
292,경기도,파주시,자유로자동차극장,경기 파주시 엘지로 697-0,문화관광,공연시설,147038
293,경기도,양평군,세미원,경기 양평군 양수로 93-0,문화관광,테마공원,146796
294,경기도,가평군,대성리역,경기 가평군 경춘로 88-0,기타관광,교통시설,146322
295,경기도,평택시,평택항국제여객터미널,경기 평택시 평택항만길 75-0,기타관광,교통시설,146274
296,경기도,성남시 중원구,은행시장,경기 성남시 중원구 산성대로 526-0,쇼핑,시장,146266
297,경기도,고양시 덕양구,고양어울림누리,경기 고양시 덕양구 어울림로 33-0,문화관광,기타문화관광지,145988
298,경기도,포천시,포천한탄강하늘다리,경기 포천시 비둘기낭길 207-0,기타관광,기타관광,144826
299,경기도,고양시 덕양구,뉴코리아CC,경기 고양시 덕양구 신원2로 57-0,레저스포츠,육상레저스포츠,144653
300,경기도,여주시,자유CC,경기 여주시 자유그린길 69-0,레저스포츠,육상레저스포츠,144589
301,경기도,안산시 단원구,화랑유원지,경기 안산시 단원구 동산로 268-0,문화관광,복합관광시설,144212
302,경기도,이천시,H1CLUB,경기 이천시 장자터로 115-0,레저스포츠,육상레저스포츠,143197
303,경기도,고양시 덕양구,세이브존화정점,경기 고양시 덕양구 화정로 52-0,쇼핑,대형마트,143175
304,경기도,군포시,반월호수,경기 군포시 호수로 92 반월호수공원 공중화장실,자연관광,자연경관(하천/해양),142718
305,경기도,용인시 기흥구,경기도어린이박물관,경기 용인시 기흥구 상갈로 6-0,문화관광,전시시설,142612
306,경기도,포천시,일동시외버스터미널,경기 포천시 화동로1051번길 4-3,기타관광,교통시설,142199
307,경기도,양평군,더스타휴골프앤리조트,경기 양평군 양동로 756-0,레저스포츠,육상레저스포츠,142190
308,경기도,여주시,캐슬파인GC,경기 여주시 부평로 580-0,레저스포츠,육상레저스포츠,141811
309,경기도,수원시 장안구,수원KT위즈파크,경기 수원시 장안구 경수대로 893-0,문화관광,레저스포츠시설,141265
310,경기도,김포시,대명항어판장,경기 김포시 대명항1로 109-0,쇼핑,시장,141114
311,경기도,용인시 처인구,용인CC,경기 용인시 처인구 황새울로 255-0,레저스포츠,육상레저스포츠,140610
312,경기도,여주시,페럼클럽,경기 여주시 점동로 181-0,레저스포츠,육상레저스포츠,140366
313,경기도,시흥시,배곧한울공원,경기 시흥시 해송십리로 61-0,문화관광,도시공원,140364
314,경기도,평택시,평택종합버스터미널,경기 평택시 평택로 31-0,기타관광,교통시설,140167
315,경기도,고양시 덕양구,원당시장,경기 고양시 덕양구 마상로154번길 54-0,쇼핑,시장,138771
316,경기도,김포시,김포SEASIDECC,경기 김포시 김포대로2801번길 219-0,레저스포츠,육상레저스포츠,137529
317,경기도,가평군,유명산자연휴양림,경기 가평군 유명산길 79-53,자연관광,자연공원,136874
318,경기도,용인시 처인구,세현CC,경기 용인시 처인구 이동읍 백자로 450,레저스포츠,육상레저스포츠,135913
319,경기도,안양시 만안구,석수체육공원,경기 안양시 만안구 안양로 595,문화관광,도시공원,135706
320,경기도,군포시,롯데피트인산본점,경기 군포시 번영로 485-0,쇼핑,쇼핑몰,135374
321,경기도,남양주시,다산정약용유적지,경기 남양주시 다산로747번길 11-0,역사관광,역사유적지,135050
322,경기도,안산시 단원구,달전망대,경기 안산시 단원구 대부황금로 1927-0,문화관광,랜드마크관광,134398
323,경기도,용인시 처인구,화산CC,경기 용인시 처인구 화산로 239-0,레저스포츠,육상레저스포츠,132907
324,경기도,여주시,360도CC,경기 여주시 부평로 609-0,레저스포츠,육상레저스포츠,132796
325,경기도,시흥시,옥구공원,경기 시흥시 서해안로 277-0,문화관광,도시공원,132439
326,경기도,파주시,보광사,경기 파주시 보광로474번길 87-0,역사관광,종교성지,132019
327,경기도,용인시 처인구,처인체력단련장,경기 용인시 처인구 이원로384번길 71-0,레저스포츠,육상레저스포츠,131940
328,경기도,부천시,부천중앙공원,경기 부천시 소향로 162-0,문화관광,도시공원,131818
329,경기도,성남시 분당구,CGV오리,경기 성남시 분당구 탄천상로151번길 20-0,문화관광,공연시설,131179
330,경기도,구리시,동구릉,경기 구리시 동구릉로 197-0,역사관광,역사유적지,130879
331,경기도,수원시 팔달구,방화수류정,경기 수원시 팔달구 수원천로392번길 44-6,역사관광,역사유적지,129312
332,경기도,안양시 만안구,삼막사,경기 안양시 만안구 삼막로 478-0,역사관광,종교성지,129075
333,경기도,이천시,비승대체력단련장,경기 이천시 대포동 537,레저스포츠,육상레저스포츠,129024
334,경기도,용인시 기흥구,코리아퍼블릭CC,경기 용인시 기흥구 기흥단지로 224-0,레저스포츠,육상레저스포츠,128518
335,경기도,화성시,CGV동탄역,경기 화성시 동탄대로 537-0,문화관광,공연시설,128227
336,경기도,의정부시,메가박스의정부민락,경기 의정부시 오목로205번길 55-0,문화관광,공연시설,127526
337,경기도,안양시 만안구,삼덕공원,경기 안양시 만안구 삼덕로 106-0,문화관광,도시공원,127029
338,경기도,파주시,노스팜CC,경기 파주시 쇠장이길 265-0,레저스포츠,육상레저스포츠,126915
339,경기도,시흥시,정왕시장,경기 시흥시 정왕시장길 51-0,쇼핑,시장,126231
340,경기도,수원시 팔달구,팔달문,경기 수원시 팔달구 정조로 780-0,역사관광,역사유적지,126108
341,경기도,파주시,오두산통일전망대,경기 파주시 필승로 369-0,문화관광,랜드마크관광,126019
342,경기도,안양시 만안구,박달시장,경기 안양시 만안구 박달우회로124번길 41-0,쇼핑,시장,125198
343,경기도,하남시,하남수산물시장,경기 하남시 안터로 0-0,쇼핑,시장,125114
344,경기도,안산시 단원구,방아머리선착장,경기 안산시 단원구 대부황금로 1567-3,기타관광,교통시설,125093
345,경기도,평택시,송탄시외버스터미널,경기 평택시 지산로 25-0,기타관광,교통시설,124498
346,경기도,수원시 권선구,권선11번가시장,경기 수원시 권선구 세권로 185-0,쇼핑,시장,123495
347,경기도,성남시 수정구,롯데시네마위례,경기 성남시 수정구 위례광장로 104-0,문화관광,공연시설,122406
348,경기도,포천시,참밸리컨트리클럽,경기 포천시 삼육사로 1982-0,레저스포츠,육상레저스포츠,122373
349,경기도,화성시,궁평항수산물직판장,경기 화성시 궁평항로 1049-24,쇼핑,시장,122366
350,경기도,양주시,나리농원,경기 양주시 광사로 131-66,체험관광,농/산/어촌체험,121279
351,경기도,평택시,소풍정원,경기 평택시 새악길 43-42,문화관광,도시공원,121234
352,경기도,시흥시,오이도항선착장,경기 시흥시 오이도로 156-0,기타관광,교통시설,121224
353,경기도,시흥시,아세코밸리골프클럽,경기 시흥시 마전로 307-0,레저스포츠,육상레저스포츠,121090
354,경기도,광주시,곤지암리조트스키장,경기 광주시 도척윗로 278-0,레저스포츠,육상레저스포츠,120534
355,경기도,안성시,공도시외버스터미널,경기 안성시 공도로 51-7,기타관광,교통시설,120507
356,경기도,연천군,연천호로고루,경기 연천군 장남면 원당리 1258,역사관광,역사유적지,120133
357,경기도,하남시,주렁주렁하남점,경기 하남시 하남유니온로 120-0,문화관광,테마공원,119767
358,경기도,화성시,남수원CC,경기 화성시 황계남길 21-10,레저스포츠,육상레저스포츠,119552
359,경기도,동두천시,티클라우드CC,경기 동두천시 평화로 3202-0,레저스포츠,육상레저스포츠,119511
360,경기도,양주시,송추CC,경기 양주시 쇠장이길 435-0,레저스포츠,육상레저스포츠,119048
361,경기도,화성시,용주사,경기 화성시 용주로 136-0,역사관광,종교성지,118945
362,경기도,용인시 처인구,호암미술관,경기 용인시 처인구 에버랜드로562번길 38-0,문화관광,전시시설,118356
363,경기도,고양시 일산서구,원마운트워터파크,경기 고양시 일산서구 한류월드로 300-0,문화관광,테마공원,117864
364,경기도,광명시,AK플라자광명,경기 광명시 양지로 17-0,쇼핑,백화점,117519
365,경기도,가평군,마이다스밸리청평 골프클럽,경기 가평군 다락재로 73-111,레저스포츠,육상레저스포츠,117394
366,경기도,성남시 분당구,CGV서현,경기 성남시 분당구 서현로180번길 19-0,문화관광,공연시설,117161
367,경기도,수원시 권선구,수원체력단련장,경기 수원시 권선구 경수대로168번길 77-0,레저스포츠,육상레저스포츠,117119
368,경기도,안성시,미리내성지,경기 안성시 미리내성지로 420-0,역사관광,역사유적지,116342
369,경기도,이천시,덕평공룡수목원,경기 이천시 작촌로 282-0,기타관광,기타관광,115945
370,경기도,용인시 기흥구,한국민속촌자동차극장,경기 용인시 기흥구 민속촌로 93-1 한국민속촌자동차극장,문화관광,공연시설,115660
371,경기도,화성시,CGV동탄,경기 화성시 동탄중앙로 220-0,문화관광,공연시설,115154
372,경기도,광주시,남촌CC,경기 광주시 부항길 135-38,레저스포츠,육상레저스포츠,115130
373,경기도,여주시,동여주체력단련장,경기 여주시 그랜드그린길 107-0,레저스포츠,육상레저스포츠,115005
374,경기도,안성시,안성CC,경기 안성시 걸미로 487-0,레저스포츠,육상레저스포츠,114962
375,경기도,안산시 단원구,구봉도낙조전망대,경기 안산시 단원구,문화관광,랜드마크관광,114948
376,경기도,고양시 일산서구,더타운몰킨텍스점,경기 고양시 일산서구 킨텍스로 171-0,쇼핑,쇼핑몰,114750
377,경기도,수원시 권선구,수원메쎄,경기 수원시 권선구 세화로134번길 37-0,문화관광,전시시설,114737
378,경기도,군포시,안양컨트리클럽,경기 군포시 군포로 364-0,레저스포츠,육상레저스포츠,114038
379,경기도,가평군,현리시외버스터미널,경기 가평군 현창로 35-0,기타관광,교통시설,113732
380,경기도,시흥시,메가박스시흥배곧,경기 시흥시 배곧3로 96-0,문화관광,공연시설,113719
381,경기도,시흥시,시화방조제중간선착장,경기 시흥시 정왕동 2377,기타관광,교통시설,112806
382,경기도,화성시,월문온천,경기 화성시 버들로1597번길 5-0,체험관광,웰니스관광,112677
383,경기도,고양시 일산동구,롯데아울렛고양터미널점,경기 고양시 일산동구 중앙로 1036-0,쇼핑,쇼핑몰,111860
384,경기도,시흥시,CGV배곧,경기 시흥시 서울대학로278번길 61-0,문화관광,공연시설,111636
385,경기도,의왕시,청계사,경기 의왕시 청계로 475-0,역사관광,종교성지,111499
386,경기도,안산시 단원구,롯데시네마센트럴락,경기 안산시 단원구 고잔로 108-0,문화관광,공연시설,111469
387,경기도,안산시 단원구,대부바다향기테마파크,경기 안산시 단원구 대부황금로 1480-7,기타관광,기타관광,111136
388,경기도,평택시,CGV평택소사,경기 평택시 평남로 862-0,문화관광,공연시설,109792
389,경기도,의왕시,의왕레일바이크,경기 의왕시 왕송못동로 221-0,레저스포츠,기타레저스포츠,109255
390,경기도,의정부시,의정부예술의전당,경기 의정부시 의정로 1-0,문화관광,공연시설,109090
391,경기도,남양주시,남양주CC,경기 남양주시 진건오남로 516-31,레저스포츠,육상레저스포츠,108854
392,경기도,시흥시,배곧생명공원,경기 시흥시 배곧2로 25-0,문화관광,도시공원,108725
393,경기도,용인시 기흥구,남부CC,경기 용인시 기흥구 사은로 163-0,레저스포츠,육상레저스포츠,108560
394,경기도,부천시,한국만화박물관,경기 부천시 길주로 1-0,문화관광,전시시설,108331
395,경기도,광주시,광주종합터미널,경기 광주시 광주대로 30-0,기타관광,교통시설,108321
396,경기도,양주시,장흥관광지,경기 양주시 권율로 202-0,문화관광,복합관광시설,107776
397,경기도,이천시,웰링턴CC,경기 이천시 사실로725번길 119-73,레저스포츠,육상레저스포츠,107231
398,경기도,부천시,현대백화점 유플렉스중동점,경기 부천시 길주로 172-0,쇼핑,백화점,106787
399,경기도,여주시,세종대왕릉,경기 여주시 영릉로 269-50,역사관광,역사유적지,106218
400,경기도,광명시,세이브존광명점,경기 광명시 철망산로 87-0,쇼핑,대형마트,105827
401,경기도,포천시,일동레이크GC,경기 포천시 화동로 738-0,레저스포츠,육상레저스포츠,105656
402,경기도,안양시 동안구,평촌중앙공원,경기 안양시 동안구 관평로 149-0,문화관광,도시공원,105500
403,경기도,포천시,샴발라CC,경기 포천시 청군로 2856-93,레저스포츠,육상레저스포츠,105391
404,경기도,화성시,메가박스동탄,경기 화성시 동탄지성로 11-0,문화관광,공연시설,104381
405,경기도,이천시,CGV이천,경기 이천시 중리천로 58-0,문화관광,공연시설,104281
406,경기도,고양시 덕양구,행주산성역사공원,경기 고양시 덕양구 행주산성로 93-38,문화관광,도시공원,104105
407,경기도,안산시 단원구,바다향기수목원,경기 안산시 단원구 대부황금로 399-0,자연관광,자연공원,103298
408,경기도,수원시 장안구,장안문,경기도 수원시 팔달구 장안동 330,역사관광,역사유적지,103193
409,경기도,안산시 단원구,안산문화예술의전당,경기 안산시 단원구 화랑로 312-0,문화관광,공연시설,102680
410,경기도,고양시 덕양구,올림픽CC,경기 고양시 덕양구 혜음로 301-0,레저스포츠,육상레저스포츠,101984
411,경기도,하남시,하남미사리카누경기장,경기 하남시 미사대로 505-0,레저스포츠,수상레저스포츠,101973
412,경기도,안성시,일죽시외버스터미널,경기 안성시 주래본죽로 25-0,기타관광,교통시설,101146
413,경기도,남양주시,수종사,경기 남양주시 북한강로433번길 186-0,역사관광,종교성지,100409
414,경기도,고양시 일산동구,고양아람누리,경기 고양시 일산동구 중앙로 1286-0,문화관광,공연시설,99996
415,경기도,양주시,옥정중앙공원,경기 양주시 옥정동로7길 110,문화관광,도시공원,99746
416,경기도,양주시,두리랜드,경기 양주시 권율로 120-0,문화관광,테마공원,99603
417,경기도,수원시 영통구,아쿠아플라넷광교,경기 수원시 영통구 광교호수공원로 300-0,문화관광,테마공원,99142
418,경기도,화성시,남양성모성지,경기 화성시 남양성지로 112-0,역사관광,역사유적지,98397
419,경기도,시흥시,베니스스퀘어,경기 시흥시 서울대학로278번길 61-0,쇼핑,쇼핑몰,98265
420,경기도,용인시 기흥구,남부골프연습장,경기 용인시 기흥구 민속촌로 95-0,레저스포츠,육상레저스포츠,97982
421,경기도,안성시,안성종합버스터미널,경기 안성시 비봉로 85-0,기타관광,교통시설,97921
422,경기도,의정부시,롯데시네마의정부민락,경기 의정부시 천보로 44-0,문화관광,공연시설,97890
423,경기도,고양시 덕양구,고양어린이박물관,경기 고양시 덕양구 화중로 26-0,문화관광,전시시설,96947
424,경기도,파주시,베스트밸리GC,경기 파주시 장지산로200번길 32-41,레저스포츠,육상레저스포츠,96930
425,경기도,부천시,아인스월드(폐업),경기 부천시 도약로 1-0,문화관광,테마공원,95958
426,경기도,용인시 처인구,용인농촌테마파크,경기 용인시 처인구 농촌파크로 80-1,문화관광,복합관광시설,95883
427,경기도,포천시,평강랜드,경기 포천시 우물목길 171-18,문화관광,테마공원,95674
428,경기도,안양시 동안구,CGV평촌,경기 안양시 동안구 관평로170번길 33-0,문화관광,공연시설,95618
429,경기도,파주시,하니랜드,경기 파주시 장곡로 218-0,문화관광,테마공원,95540
430,경기도,김포시,전류리포구,경기 김포시 금포로 1928-0,자연관광,자연경관(하천/해양),95101
431,경기도,용인시 처인구,CGV용인,경기 용인시 처인구 금령로 86-0,문화관광,공연시설,94458
432,경기도,안산시 단원구,와동체육공원,경기 안산시 단원구 와동공원로 109-0,문화관광,도시공원,94398
433,경기도,고양시 일산서구,고양일산호수공원가로수길,경기 고양시 일산서구 주엽로 80-0,쇼핑,쇼핑몰,94141
434,경기도,이천시,예스파크,경기 이천시 도자예술로5번길 109-0,문화관광,복합관광시설,93184
435,경기도,고양시 덕양구,테마파크쥬쥬,경기 고양시 덕양구 원당로458번길 7-42,문화관광,테마공원,93063
436,경기도,남양주시,다산생태공원,경기 남양주시 다산로 767-0,문화관광,도시공원,92982
437,경기도,안산시 상록구,안산식물원,경기 안산시 상록구 성호로 113-0,문화관광,테마공원,92884
438,경기도,하남시,메가박스미사강변,경기 하남시 미사강변중앙로 218-0,문화관광,공연시설,92712
439,경기도,동두천시,소요산,경기 동두천시 평화로2910번길 406-33,자연관광,자연경관(산),92600
440,경기도,안성시,죽산시외버스터미널,경기 안성시 죽주로 290-0,기타관광,교통시설,90587
441,경기도,화성시,화성GC,경기 화성시 화성로 1393-27,레저스포츠,육상레저스포츠,90569
442,경기도,고양시 덕양구,123GC,경기 고양시 덕양구 통일로 43-168,레저스포츠,육상레저스포츠,90528
443,경기도,김포시,걸포중앙공원,경기 김포시 걸포로 76-0,문화관광,도시공원,89951
444,경기도,고양시 일산서구,덕이동로데오거리,경기 고양시 일산서구 덕이동 466,쇼핑,기타쇼핑시설,89841
445,경기도,수원시 팔달구,화서시장,경기 수원시 팔달구 동말로 72-0,쇼핑,시장,89797
446,경기도,시흥시,웨이브파크,경기 시흥시 거북섬둘레길 42-0,레저스포츠,수상레저스포츠,89673
447,경기도,여주시,해슬리나인브릿지,경기 여주시 명품1로 76-0,레저스포츠,육상레저스포츠,88268
448,경기도,광주시,곤지암도자공원,경기 광주시 경충대로 727-0,문화관광,도시공원,87752
449,경기도,화성시,동탄여울공원,경기 화성시 노작로 0-0,문화관광,도시공원,86785
450,경기도,용인시 수지구,포은아트홀,경기 용인시 수지구 포은대로 499-0,문화관광,공연시설,86310
451,경기도,화성시,하피랜드,경기 화성시 시청로 888-0,문화관광,복합관광시설,85632
452,경기도,수원시 장안구,북수원시장,경기 수원시 장안구 파장로82번길 6-0,쇼핑,시장,85190
453,경기도,광주시,경안시장,경기 광주시 경안로25번길 0-0,쇼핑,시장,85178
454,경기도,평택시,해군만포대체력단련장,경기 평택시 포승읍 원정리 1279-1,레저스포츠,육상레저스포츠,85011
455,경기도,남양주시,롯데시네마진접,경기 남양주시 해밀예당1로 36-0,문화관광,공연시설,84977
456,경기도,광명시,아브뉴프랑광명,경기 광명시 양지로 16-0,쇼핑,쇼핑몰,84921
457,경기도,오산시,화성궐리사,경기 오산시 매홀로 3-0,역사관광,역사유적지,84488
458,경기도,성남시 수정구,롯데시네마성남중앙,경기 성남시 수정구 산성대로 267-0,문화관광,공연시설,84456
459,경기도,파주시,율곡수목원,경기 파주시 장승배기로 394-0,자연관광,자연공원,84433
460,경기도,안산시 단원구,롯데백화점안산점신관,경기 안산시 단원구 중앙대로 873-0,쇼핑,백화점,84128
461,경기도,광명시,뉴코아아울렛광명점,경기 광명시 하안로287번길 8-0,쇼핑,대형마트,83850
462,경기도,수원시 팔달구,나혜석거리,경기 수원시 팔달구 권광로188번길 25-2,문화관광,테마공원,83848
463,경기도,용인시 처인구,선봉대체력단련장,경기 용인시 처인구 성산로 57-0,레저스포츠,육상레저스포츠,83511
464,경기도,파주시,파주리조트골프클럽PRGC,경기 파주시 교하로 1097-33,레저스포츠,육상레저스포츠,83004
465,경기도,의왕시,의왕역,경기 의왕시 철도박물관로 66-0,기타관광,교통시설,82926
466,경기도,남양주시,오남저수지,경기 남양주시 오남읍 오남리 55,자연관광,자연경관(하천/해양),82557
467,경기도,수원시 장안구,CGV북수원,경기 수원시 장안구 경수대로 950-0,문화관광,공연시설,82356
468,경기도,안산시 상록구,노적봉공원,경기 안산시 상록구 성포동 699,문화관광,도시공원,82342
469,경기도,안산시 상록구,광덕종합시장,경기 안산시 상록구 광덕산안길 20-0,쇼핑,시장,82081
470,경기도,수원시 권선구,아이스하우스,경기 수원시 권선구 효탑로16번길 20-0,레저스포츠,육상레저스포츠,81805
471,경기도,가평군,가평시외버스터미널,경기 가평군 가화로 51-0,기타관광,교통시설,81590
472,경기도,성남시 수정구,성남공군체력단련장,경기 성남시 수정구 대왕판교로 1210-0,레저스포츠,육상레저스포츠,81010
473,경기도,김포시,CGV김포운양,경기 김포시 김포한강11로 288-31,문화관광,공연시설,80264
474,경기도,용인시 처인구,글렌로스CC,경기 용인시 처인구 에버랜드로562번길 69-0,레저스포츠,육상레저스포츠,80105
475,경기도,남양주시,능내역폐역,경기 남양주시 다산로 566-5,기타관광,교통시설,79841
476,경기도,광주시,CGV경기광주,경기 광주시 중앙로 89-0,문화관광,공연시설,79633
477,경기도,이천시,사자체력단련장,경기 이천시 억만리로 51-0,레저스포츠,육상레저스포츠,79421
478,경기도,이천시,별빛정원우주,경기 이천시 덕이로154번길 287-76,기타관광,기타관광,79211
479,경기도,남양주시,산들소리수목원,경기 남양주시 불암산로59번길 48-31,문화관광,테마공원,78761
480,경기도,김포시,김포아트빌리지,경기 김포시 모담공원로 170-0,문화관광,기타문화관광지,78579
481,경기도,여주시,여주곤충박물관,경기 여주시 명성로 114-146,문화관광,전시시설,78039
482,경기도,화성시,전곡항마리나,경기 화성시 전곡항로 5-0,레저스포츠,수상레저스포츠,77805
483,경기도,의정부시,CGV의정부태흥,경기 의정부시 시민로 80-0,문화관광,공연시설,77616
484,경기도,가평군,에델바이스스위스테마파크,경기 가평군 다락재로 226-57,문화관광,테마공원,76922
485,경기도,용인시 처인구,조일프라자골프클럽,경기 용인시 처인구 지삼로 470-0,레저스포츠,육상레저스포츠,76673
486,경기도,용인시 기흥구,동춘175폐점,경기 용인시 기흥구 동백죽전대로175번길 6-0,쇼핑,쇼핑몰,76314
487,경기도,용인시 처인구,삼성화재교통박물관,경기 용인시 처인구 에버랜드로376번길 171-0,문화관광,전시시설,76119
